,Fuel Consumption (ml/s),,Speed (m/s),
time,Gainesville,Cologne6to8,Gainesville,Cologne6to8
0,1.13,1.13,0,0
1,1.20625,1.288529412,0.31875,0.932941176
2,1.33375,1.531086957,4.0075,2.163695652
3,1.346521739,1.757166667,3.830434783,3.2225
4,1.667333333,1.805125,4.693333333,3.83675
5,1.734473684,1.972282609,5.365789474,4.945434783
6,1.727555556,1.998240741,6.319777778,5.633240741
7,1.825,2.005365854,6.527884615,6.332195122
8,1.906101695,1.7935,7.514576271,6.570214286
9,1.807761194,1.633018868,7.478208955,6.647798742
10,1.868243243,1.741436782,7.795,7.099942529
11,1.79654321,1.688697917,8.55654321,7.38328125
12,1.915227273,1.660243902,9.060454545,7.845073171
13,1.912395833,1.563963964,9.2784375,8.048693694
14,1.749126214,1.635907173,9.463203883,8.304936709
15,1.753873874,1.508976378,9.408018018,8.341220472
16,1.436495726,1.587740741,9.357948718,8.57962963
17,1.52168,1.467482517,9.13528,8.752972028
18,1.587878788,1.45670068,9.145833333,9.081088435
19,1.575899281,1.274808917,8.997769784,8.836624204
20,1.950479452,1.343374233,9.923424658,9.029723926
21,1.780130719,1.346210826,10.29836601,8.903304843
22,1.800314465,1.424917127,10.60176101,9.190607735
23,1.78577381,1.260342105,10.73690476,9.084078947
24,1.628103448,1.309949749,10.87637931,9.114974874
25,1.620819672,1.3675,11.01224044,9.131761905
26,1.430631579,1.322144522,11.00405263,9.410745921
27,1.480505051,1.29409396,10.90944444,9.359865772
28,1.558731707,1.327360515,10.76868293,9.429957082
29,1.683521127,1.256041667,10.82469484,9.505354167
30,1.615545455,1.249595142,10.93718182,9.548421053
31,1.575877193,1.201850394,10.98337719,9.550944882
32,1.600128205,1.33375969,10.99589744,9.792926357
33,1.693651452,1.182360595,11.25871369,9.646877323
34,1.571854839,1.18761302,11.51125,9.656600362
35,1.577176471,1.254719298,11.38647059,9.738473684
36,1.69026616,1.279175258,11.42422053,9.90371134
37,1.608259259,1.268043118,11.45722222,9.864344942
38,1.70118705,1.195691318,11.5078777,9.792491961
39,1.831122807,1.14215625,11.78729825,9.72778125
